gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Female,0,No,No,14,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),74.81,1104.39,No
Female,0,No,Yes,71,Yes,No,DSL,Yes,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),50.79,3603.77,No
Male,0,Yes,Yes,39,Yes,No,DSL,No internet service,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,101.21,3618.18,No
Male,0,Yes,No,31,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,No,Two year,Yes,Electronic check,73.12,2237.01,No
Female,0,Yes,Yes,50,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No,Two year,No,Bank transfer (automatic),56.37,2566.67,No
Female,0,No,No,16,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),29.88,482.02,No
Female,0,Yes,Yes,72,Yes,No phone service,DSL,No,No,Yes,No,No internet service,No internet service,Month-to-month,No,Credit card (automatic),108.97,7179.12,No
Male,0,No,Yes,51,No,Yes,No,Yes,No,No internet service,No,No internet service,No,Month-to-month,Yes,Mailed check,99.75,5334.18,Yes
Female,1,Yes,No,15,Yes,No,No,No,No,Yes,No internet service,Yes,Yes,Month-to-month,No,Mailed check,39.14,542.56,No
Male,0,No,Yes,38,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),107.26,3965.77,No
Male,1,Yes,Yes,71,Yes,No,DSL,No internet service,No,No,No internet service,No,No internet service,One year,No,Electronic check,74.84,5104.24,No
Male,0,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,96.59,6553.21,No
Male,0,No,Yes,21,Yes,No,Fiber optic,No,No,Yes,No,No,No internet service,Two year,Yes,Electronic check,84.43,1931.79,Yes
Male,0,Yes,Yes,16,Yes,No,DSL,No internet service,No,No,No,No,No internet service,Month-to-month,No,Credit card (automatic),25.16,423.1,No
Female,0,No,No,67,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),43.37,3051.39,No
Female,0,Yes,Yes,65,Yes,No phone service,No,No,No internet service,No internet service,No internet service,No,No internet service,One year,No,Electronic check,61.12,3886.55,No
Female,0,Yes,No,13,Yes,No,DSL,No,No internet service,No internet service,No,No,Yes,One year,Yes,Mailed check,29.39,399.59,No
Female,0,No,Yes,64,Yes,No,DSL,No internet service,No,No,No internet service,Yes,No internet service,Month-to-month,Yes,Bank transfer (automatic),56.01,3577.93,No
Female,1,No,Yes,61,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),21.68,1313.08,Yes
Male,0,Yes,No,32,Yes,No,No,No,No internet service,No,No,No,No internet service,Month-to-month,Yes,Electronic check,108.12,3679.42,No
Female,0,No,No,12,Yes,No,DSL,No internet service,No internet service,No,No,Yes,Yes,One year,No,Electronic check,22.41,260.69,No
Female,0,No,Yes,41,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No,No,One year,Yes,Mailed check,73.93,2782.65,No
Male,0,No,No,66,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.34,5304.75,No
Female,0,Yes,Yes,8,Yes,No,No,No,No,No internet service,Yes,No,No,One year,Yes,Credit card (automatic),47.87,409.42,No
Male,0,Yes,Yes,59,Yes,Yes,Fiber optic,No,No,No,No internet service,No,Yes,Two year,Yes,Mailed check,18.22,1139.02,No
Female,1,No,No,25,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,Yes,Month-to-month,No,Electronic check,74.5,1882.65,No
Male,0,No,Yes,5,No,No,No,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),65.43,317.02,Yes
Female,0,No,No,45,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),37.06,1579.42,No
Female,0,Yes,Yes,2,Yes,No,Fiber optic,Yes,No,No internet service,No,No,No,Month-to-month,No,Electronic check,27.4,58.41,Yes
Male,0,Yes,No,42,Yes,Yes,DSL,No internet service,No,No internet service,No,No,No,Month-to-month,Yes,Bank transfer (automatic),99.37,3852.51,No
Male,0,No,No,38,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,37.89,1540.38,No
Male,0,Yes,No,3,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),61.35,176.79,Yes
Male,0,Yes,Yes,46,Yes,Yes,No,No internet service,No,No internet service,No,Yes,No internet service,One year,Yes,Mailed check,98.36,4270.94,No
Male,0,Yes,No,22,Yes,No phone service,Fiber optic,Yes,Yes,No,No internet service,No,No,Month-to-month,Yes,Credit card (automatic),111.37,2660.37,Yes
Male,0,No,No,33,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,58.65,1894.26,No
Male,0,Yes,No,32,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,No,One year,Yes,Bank transfer (automatic),65.52,2287.16,Yes
Male,0,No,No,17,Yes,Yes,DSL,No,No,No internet service,No,No,Yes,Two year,No,Mailed check,90.48,1582.47,No
Female,0,No,No,56,Yes,No,Fiber optic,No,No,No,No,No internet service,No,Two year,Yes,Mailed check,33.62,1922.35,No
Female,0,No,No,3,Yes,No phone service,DSL,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),103.65,303.58,Yes
Male,1,Yes,No,70,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,45.75,3049.18,No
Female,1,Yes,No,49,Yes,No,No,No internet service,No,No internet service,No,No,No,One year,No,Electronic check,60.45,2728.95,No
Female,0,No,No,55,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,113.72,6363.65,Yes
Female,0,No,Yes,31,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,One year,No,Mailed check,116.96,3299.53,No
Female,0,No,No,21,Yes,Yes,No,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),62.21,1281.73,No
Male,0,No,No,16,Yes,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,Two year,No,Electronic check,45.42,778.88,No
Female,1,No,No,17,Yes,Yes,Fiber optic,No internet service,No,No,No,No internet service,No,Two year,Yes,Electronic check,31.98,588.38,No
Male,0,No,Yes,1,Yes,No,No,No,No,No,No internet service,Yes,Yes,Two year,Yes,Credit card (automatic),33.87,33.41,No
Female,1,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No,Yes,No,No,Two year,No,Mailed check,70.04,4892.19,No
Female,1,Yes,No,65,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,87.95,5735.43,No
Female,0,No,No,66,Yes,Yes,No,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,55.01,3342.36,No
Male,0,Yes,No,37,Yes,Yes,DSL,No internet service,Yes,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,42.38,1445.27,Yes
Female,0,No,No,24,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,No,Electronic check,18.32,399.17,Yes
Male,1,Yes,No,62,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),47.63,3173.28,Yes
Female,0,No,Yes,21,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),82.24,1829.17,Yes
Male,1,Yes,Yes,37,Yes,No,Fiber optic,No internet service,No,No,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),93.58,3295.6,No
Female,0,Yes,Yes,35,Yes,No,Fiber optic,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),101.1,3672.16,No
Male,0,No,Yes,38,No,Yes,No,No,No internet service,Yes,No internet service,No internet service,No internet service,Two year,No,Mailed check,71.26,2919.48,No
Male,1,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Credit card (automatic),112.08,6313.08,Yes
Female,0,Yes,No,15,Yes,No phone service,No,No internet service,No,No,No internet service,No internet service,No,Month-to-month,Yes,Electronic check,98.5,1386.64,Yes
Male,0,Yes,No,42,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,No,Mailed check,98.22,3957.66,No
Female,0,No,No,4,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Two year,No,Electronic check,19.77,75.68,No
Female,0,No,No,39,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No,Month-to-month,Yes,Mailed check,22.98,886.52,No
Female,0,No,No,23,Yes,Yes,Fiber optic,No internet service,No internet service,No,No,No,No,Month-to-month,No,Bank transfer (automatic),96.06,2201.67,Yes
Female,0,Yes,No,15,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),48.95,703.11,No
Female,1,No,Yes,12,Yes,No phone service,No,No,No,No internet service,No,No internet service,Yes,One year,Yes,Bank transfer (automatic),46.81,601.15,No
Female,1,Yes,No,70,Yes,No,No,Yes,No,Yes,No internet service,No internet service,No internet service,Two year,No,Electronic check,48.17,3077.0,No
Female,0,No,Yes,54,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No internet service,One year,Yes,Mailed check,94.7,5129.52,No
Female,0,No,No,38,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No,Month-to-month,No,Bank transfer (automatic),87.13,3215.6,No
Female,0,No,No,28,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),23.06,685.26,Yes
Female,0,No,No,19,Yes,No,DSL,No,Yes,No,No internet service,No,No,One year,Yes,Electronic check,98.72,2043.13,No
Female,1,No,Yes,69,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,62.65,3986.85,Yes
Male,0,No,No,64,Yes,Yes,DSL,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),93.52,5923.72,No
Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,No,Yes,No internet service,Yes,No internet service,Two year,Yes,Mailed check,114.55,449.95,No
Female,0,No,Yes,10,Yes,Yes,No,No,No,No,No,Yes,No,One year,No,Mailed check,82.93,749.82,No
Female,0,Yes,Yes,12,Yes,No,No,Yes,No,No,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,87.61,1127.3,No
Female,0,Yes,No,69,Yes,No,Fiber optic,No,No,No internet service,No internet service,No,Yes,One year,Yes,Electronic check,52.64,3421.34,No
Female,0,Yes,Yes,7,No,No,No,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,81.45,523.01,No
Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),91.1,4334.65,Yes
Female,0,Yes,No,23,No,Yes,Fiber optic,Yes,Yes,No internet service,No,No internet service,Yes,Month-to-month,Yes,Mailed check,44.61,982.24,No
Female,0,No,No,2,No,Yes,No,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,51.77,104.72,No
Female,0,Yes,Yes,37,Yes,No,Fiber optic,No,No internet service,No internet service,No,Yes,No,Two year,Yes,Electronic check,27.16,1018.05,No
Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No,Two year,No,Bank transfer (automatic),96.15,7297.34,No
Female,0,No,No,20,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,82.05,1747.8,No
Male,0,Yes,Yes,44,Yes,Yes,DSL,No,No,Yes,No internet service,Yes,No,Two year,Yes,Bank transfer (automatic),57.16,2379.91,No
Female,0,No,Yes,70,Yes,No,No,No,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Mailed check,72.38,5179.14,No
Female,0,No,Yes,51,Yes,No,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Electronic check,87.09,4019.15,No
Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Electronic check,36.69,1155.02,Yes
Female,1,No,No,41,Yes,No,Fiber optic,Yes,No,No,No,No internet service,No,One year,Yes,Mailed check,87.07,3873.69,Yes
Male,1,Yes,Yes,58,Yes,No,DSL,No,Yes,No internet service,No,No,No,One year,No,Electronic check,82.11,4362.54,No
Female,0,Yes,No,5,Yes,No,No,No,Yes,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,84.06,386.78,Yes
Female,1,Yes,No,33,No,No,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Credit card (automatic),51.16,1533.79,No
Male,0,No,No,43,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Two year,Yes,Bank transfer (automatic),33.39,1455.98,No
Female,0,Yes,No,19,Yes,No phone service,No,No,No internet service,No,No,No,Yes,Two year,Yes,Bank transfer (automatic),57.9,1067.03,No
Male,0,Yes,Yes,32,Yes,No,Fiber optic,No,No,Yes,No internet service,No,Yes,One year,No,Electronic check,27.59,809.51,No
Female,0,Yes,Yes,3,Yes,Yes,No,No internet service,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.67,98.52,Yes
Male,0,No,No,1,Yes,No,No,No,No,Yes,No,No internet service,Yes,Two year,No,Electronic check,74.5,80.54,No
Male,0,Yes,Yes,41,Yes,No,DSL,No internet service,No internet service,No,No internet service,No,No,One year,Yes,Credit card (automatic),112.39,4455.18,No
Female,0,No,No,48,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,No,No,Month-to-month,No,Mailed check,40.73,1821.42,Yes
Female,0,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Two year,No,Credit card (automatic),72.74,2770.53,No
Male,0,Yes,No,5,Yes,No,No,Yes,No,Yes,No,Yes,No,One year,Yes,Mailed check,34.12,164.58,No
Female,1,Yes,No,11,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Credit card (automatic),72.76,825.91,Yes
Female,0,No,No,22,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.96,1982.57,No
Female,0,No,No,64,Yes,No,Fiber optic,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),100.91,5820.1,Yes
Male,0,Yes,No,12,Yes,No,DSL,No,No internet service,No internet service,Yes,No,No,One year,Yes,Bank transfer (automatic),89.37,1125.5,No
Male,0,Yes,No,53,Yes,No,DSL,No internet service,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,38.65,2049.46,No
Male,0,No,No,55,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),63.87,3310.1,Yes
Male,0,Yes,No,53,Yes,No,No,No,No,No internet service,No,No,No,Month-to-month,Yes,Electronic check,101.35,5286.83,No
Male,0,Yes,Yes,21,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),93.02,1936.15,Yes
Male,0,Yes,Yes,19,Yes,No,No,No,No internet service,No,No,No internet service,Yes,One year,Yes,Mailed check,99.9,2052.37,Yes
Male,0,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Credit card (automatic),27.7,1726.85,No
Male,0,Yes,No,72,Yes,Yes,DSL,Yes,No,Yes,No,No internet service,No,Month-to-month,Yes,Mailed check,92.22,7210.71,Yes
Male,0,Yes,No,66,Yes,No,No,Yes,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,63.19,3783.63,Yes
Female,0,Yes,No,59,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,Yes,Two year,Yes,Mailed check,54.4,3522.24,Yes
Male,0,No,Yes,49,Yes,Yes,Fiber optic,No internet service,No,Yes,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.49,1692.06,Yes
Female,0,Yes,No,59,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No,No,Month-to-month,No,Electronic check,42.28,2466.03,Yes
Female,1,No,No,23,Yes,No,DSL,No internet service,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),79.22,1905.63,Yes
Female,1,Yes,No,3,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,One year,Yes,Mailed check,89.62,243.46,No
Male,1,No,No,56,Yes,No,No,No internet service,No,Yes,Yes,No,No,Two year,No,Mailed check,73.55,4393.3,No
Male,0,Yes,No,58,No,Yes,DSL,No,Yes,Yes,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),116.44,7298.79,No
Male,0,No,No,62,Yes,Yes,No,No,No internet service,No,No,No,No,Month-to-month,No,Electronic check,37.07,2098.13,Yes
Male,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,76.6,1370.2,Yes
Female,0,No,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No,One year,No,Electronic check,93.77,5557.52,No
Male,0,Yes,No,37,Yes,No,No,No internet service,No,No internet service,No,Yes,Yes,Two year,No,Mailed check,42.52,1648.26,No
Male,0,Yes,Yes,54,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Two year,Yes,Credit card (automatic),22.42,1273.72,No
Male,1,No,No,65,Yes,No,No,No internet service,No,No,No,Yes,No internet service,One year,Yes,Mailed check,42.34,2803.69,No
Male,0,No,No,14,Yes,No,No,No internet service,No,No internet service,Yes,No,No,Two year,No,Electronic check,18.7,278.34,No
Male,1,Yes,No,5,Yes,Yes,DSL,No,No,Yes,No internet service,No,No,Month-to-month,No,Electronic check,64.74,334.51,No
Female,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No internet service,Month-to-month,Yes,Electronic check,22.47,1392.43,No
Male,0,Yes,No,1,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,94.65,95.88,Yes
Female,0,Yes,No,63,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,109.85,6654.82,No
Male,0,No,No,67,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No,No,One year,Yes,Mailed check,50.72,3363.16,No
Female,0,Yes,No,20,Yes,Yes,No,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Mailed check,77.93,1694.4,No
Male,0,No,Yes,43,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,102.24,4615.03,Yes
Male,0,Yes,No,42,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,Yes,Month-to-month,No,Mailed check,44.78,1776.54,Yes
Female,0,No,Yes,69,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),90.12,5710.51,Yes
Female,1,No,Yes,39,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No internet service,No,Two year,Yes,Mailed check,109.28,3894.52,No
Female,0,No,No,62,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),88.04,5842.62,No
Male,1,No,No,48,Yes,No,DSL,No internet service,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),87.38,4475.84,No
Female,0,Yes,Yes,6,Yes,Yes,DSL,Yes,No,No internet service,No internet service,No,No,Month-to-month,No,Electronic check,28.91,167.2,No
Male,0,No,No,42,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Electronic check,34.17,1295.02,No
Male,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),77.78,4444.87,Yes
Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Two year,Yes,Electronic check,37.42,1555.97,No
Female,0,No,No,10,Yes,No,DSL,Yes,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),65.65,607.61,Yes
Male,0,No,No,39,Yes,No,No,No internet service,Yes,No,Yes,Yes,No internet service,Two year,Yes,Credit card (automatic),106.75,3911.76,No
Male,0,No,No,13,Yes,No,DSL,No internet service,No,No,No,No internet service,No,Month-to-month,Yes,Electronic check,114.99,1525.14,No
Female,0,Yes,No,39,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,60.11,2446.78,Yes
Female,0,No,No,11,Yes,Yes,Fiber optic,Yes,No internet service,No internet service,No,Yes,No,One year,Yes,Electronic check,33.38,372.42,Yes
Female,0,Yes,No,16,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No,One year,Yes,Bank transfer (automatic),111.14,1659.83,No
Male,0,No,No,33,Yes,No,DSL,No internet service,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),65.69,2086.34,No
Male,0,Yes,No,60,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No internet service,Month-to-month,No,Mailed check,47.55,2969.84,Yes
Male,0,No,No,59,Yes,No,Fiber optic,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),119.35,6453.61,Yes
Male,0,Yes,No,51,Yes,No,No,No,Yes,No internet service,No,No,No,Month-to-month,No,Credit card (automatic),109.76,5803.07,No
Male,0,No,Yes,15,Yes,No phone service,No,No,Yes,Yes,No,No,No internet service,Two year,Yes,Electronic check,62.07,997.1,No
Male,0,Yes,Yes,43,Yes,No phone service,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),23.15,1053.63,No
Female,0,No,No,27,Yes,No,No,No,Yes,No,No,No internet service,No,Month-to-month,No,Electronic check,77.6,2126.88,No
Male,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Electronic check,91.09,5503.48,Yes
Male,0,No,Yes,60,Yes,No,Fiber optic,No,No,No,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.54,1014.04,No
Male,0,Yes,No,70,Yes,No,DSL,No,No,No internet service,No internet service,No internet service,Yes,One year,No,Bank transfer (automatic),51.78,3647.12,No
Female,1,No,Yes,47,Yes,No,DSL,No internet service,No,Yes,No internet service,No internet service,No,Two year,Yes,Electronic check,27.63,1369.35,No
Male,0,Yes,Yes,8,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,107.66,854.11,Yes
Male,0,No,Yes,63,Yes,No,No,No,Yes,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),22.28,1540.5,Yes
Female,0,Yes,No,7,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Electronic check,114.94,727.06,No
Male,0,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,21.58,41.71,Yes
